,Side Length,Bandwidth,best epoch$_a$,prec1$_a$ max,prec1 at epoch$_a$,prec5 at epoch$_a$,prec5$_a$ at epoch$_a$,prec1$_a$ at epoch 33,prec5$_a$ at epoch 33,prec1$_a$-prec1,prec5$_a$-prec5
0,1000,500,19,11.682348,92.775536,99.37836,13.64434,11.682346,13.666741,-81.093185,-85.73402
1,1000,1000,19,32.2562,92.775536,99.37836,34.649418,32.222603,34.69422,-60.519337,-64.72894
2,1000,1500,19,53.77277,92.775536,99.37836,56.839912,53.750374,56.867916,-39.002766,-42.538445
3,1000,2000,19,71.39711,92.775536,99.37836,75.15308,71.3747,75.21468,-21.378426,-24.225273
4,1000,3000,33,90.5522,92.93795,99.411964,95.02688,90.5522,95.02688,-2.3857498,-4.385086
5,1000,4000,23,94.01322,93.07796,99.37836,98.72873,94.01322,98.75673,0.9352646,-0.6496277
6,2000,500,33,12.725883,92.93795,99.411964,14.760675,12.725883,14.760675,-80.21207,-84.65129
7,2000,1000,19,33.594685,92.775536,99.37836,36.05511,33.555485,36.071915,-59.18085,-63.323246
8,2000,1500,19,55.055256,92.775536,99.37836,58.2344,55.021652,58.256805,-37.72028,-41.143955
9,2000,2000,19,72.29503,92.775536,99.37836,76.022995,72.27263,76.10701,-20.480507,-23.355362
10,2000,3000,33,90.82288,92.93795,99.411964,95.33678,90.82288,95.33678,-2.1150665,-4.0751877
11,2000,4000,33,94.01883,92.93795,99.411964,98.74553,94.01883,98.74553,1.0808792,-0.66643524
12,3000,500,33,13.9542265,92.93795,99.411964,15.977822,13.9542265,15.977822,-78.98373,-83.43414
13,3000,1000,19,34.888367,92.775536,99.37836,37.4608,34.854767,37.438396,-57.88717,-61.917557
14,3000,1500,19,56.23694,92.775536,99.37836,59.455284,56.19773,59.472084,-36.538597,-39.923073
15,3000,2000,23,73.24709,93.07796,99.37836,77.12067,73.213486,77.12067,-19.830864,-22.25769
16,3000,3000,33,91.186905,92.93795,99.411964,95.70639,91.186905,95.70639,-1.7510452,-3.705574
17,3000,4000,33,94.024414,92.93795,99.411964,98.70633,94.024414,98.70633,1.0864639,-0.7056351
18,4000,500,33,14.883886,92.93795,99.411964,16.907482,14.883886,16.907482,-78.05406,-82.504486
19,4000,1000,19,36.48634,92.775536,99.37836,39.075565,36.447136,39.058765,-56.289196,-60.30279
20,4000,1500,19,57.401817,92.775536,99.37836,60.59775,57.357014,60.648155,-35.37372,-38.780605
21,4000,2000,23,74.09834,93.07796,99.37836,78.01673,74.06474,77.96633,-18.979614,-21.361626
22,4000,3000,33,91.46693,92.93795,99.411964,95.9696,91.46693,95.9696,-1.4710236,-3.4423676
23,4000,4000,33,94.03002,92.93795,99.411964,98.68392,94.03002,98.68392,1.0920715,-0.7280426
