,Side Lenght,Bandwidth,best epoch,prec1 max,prec5 at best epoch,prec1 at epoch 38
0,1000,0.5,38,90.860214,94.85887,90.860214
1,1000,1.0,41,92.45072,97.22782,92.366714
2,1000,1.5,42,92.41712,97.68145,92.400314
3,2000,0.5,38,92.08669,96.270164,92.08669
4,2000,1.0,42,92.45072,97.26142,92.43392
5,2000,1.5,42,92.43392,97.76546,92.383514
6,3000,0.5,38,92.24911,96.50538,92.24911
7,3000,1.0,38,92.45072,97.429436,92.45072
8,3000,1.5,42,92.43392,97.78226,92.400314
9,4000,0.5,38,92.21551,96.45497,92.21551
10,4000,1.0,42,92.43392,97.29503,92.41712
11,4000,1.5,41,92.41712,97.79906,92.383514
