,k,best aug epoch,aug prec1 max,original prec1 at aug max,prec5 at best epoch,original prec5 at aug max,prec1 at epoch 27,original prec1 at epoch 27,|prec1_$a$-prec1|,|prec5_$a$-prec5|
0,25,27,93.49238,93.38038,97.955864,99.37836,93.49238,93.49238,0.11199951,4.575485
1,50,27,93.49238,93.38038,97.955864,99.37836,93.49238,93.49238,0.11199951,4.575485
2,75,27,93.49238,93.38038,97.955864,99.37836,93.49238,93.49238,0.11199951,4.575485
3,100,27,93.43638,93.38038,97.79907,99.37836,93.43638,93.43638,0.055999756,4.4186935
4,200,27,93.43638,93.38038,97.79907,99.37836,93.43638,93.43638,0.055999756,4.4186935
5,500,27,93.43638,93.38038,97.79907,99.37836,93.43638,93.43638,0.055999756,4.4186935
6,1000,27,93.43638,93.38038,97.79907,99.37836,93.43638,93.43638,0.055999756,4.4186935
7,1500,27,93.43638,93.38038,97.79907,99.37836,93.43638,93.43638,0.055999756,4.4186935
8,2000,27,93.43638,93.38038,97.79907,99.37836,93.43638,93.43638,0.055999756,4.4186935
9,2500,27,93.43638,93.38038,97.79907,99.37836,93.43638,93.43638,0.055999756,4.4186935
10,3000,27,93.43638,93.38038,97.79907,99.37836,93.43638,93.43638,0.055999756,4.4186935
