,Sample Radius,best epoch$_a$,prec1$_a$ max,prec1 at epoch$_a$,prec5 at epoch$_a$,prec5$_a$ at epoch$_a$,prec1$_a$ at epoch 25,prec5$_a$ at epoch 25,prec1$_a$-prec1,prec5$_a$-prec5
0,10,25,94.16442,94.15323,99.24395,99.24395,94.16442,99.24395,0.011192322,0.0
1,20,25,94.16442,94.15323,99.24395,99.24395,94.16442,99.24395,0.011192322,0.0
2,30,25,94.15884,94.15323,99.24395,99.24395,94.15884,99.24395,0.005607605,0.0
3,40,25,94.15882,94.15323,99.24395,99.24395,94.15882,99.24395,0.005592346,0.0
4,50,25,94.15323,94.15323,99.24395,99.24395,94.15323,99.24395,0.0,0.0
5,100,25,94.15323,94.15323,99.24395,99.24395,94.15323,99.24395,0.0,0.0
6,200,25,94.15323,94.15323,99.24395,99.24395,94.15323,99.24395,0.0,0.0
7,300,25,94.15323,94.15323,99.24395,99.24395,94.15323,99.24395,0.0,0.0
8,400,25,94.15323,94.15323,99.24395,99.24395,94.15323,99.24395,0.0,0.0
9,500,25,94.15323,94.15323,99.24395,99.24395,94.15323,99.24395,0.0,0.0
